Organization,full,Address,City,State,Zipcode,Phone,Hours,Type,LegnedIcon,Process,AdditionalInfo,Website,VerifiedOn,N_LON,N_LAT,N_MCODE,N_LCODE
Rise Recovery,2803 Mossrock San Antonio TX 78230,2803 Mossrock,San Antonio,TX,78230,210-227-2634,M-Th: 8a-8p; Fri: 8a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine during operating hours,,https://riserecovery.org/,12/11/2024,-98.538725,29.512942,S800,AS0
Corazon Ministries,504 Ave E,504 Ave E,San Antonio,TX,78130,210-226-8341,M-F: 9a-3p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,,https://corazonsa.org/,8/26/2025,-98.483584,29.428668,T980,AS0
Central Plains Center,2700 Yonkers Plainview TX 79072,2700 Yonkers,Plainview,TX,79072,806 293-2636,M-F: 8a-5p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,,https://centralplains.org/,8/26/2025,-101.735021,34.207825,S810,AS0
Behavioral Health Solutions of South Texas,5510 N Cage Blvd Pharr TX 78577,5510 N Cage Blvd,Pharr,TX,78577,956-787-7111,M-Th: 8a-6p; Fri: 8a-12p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,,https://bhsst.org/,8/26/2025,-98.175828,26.241901,S800,AS0
NB Housing Partners,4120 Loop 337 New Braunfels TX 78130,4120 Loop 337,New Braunfels,TX,78130,830-272-5020,M-F: 8a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the naloxone dispenser during hours of operation; dispenser located in lobby area.,Donated and monitored by ICON Program,,5/9/2025,-98.155107,29.678255,S800,AS0
Franklin County Rural Health Clinic,506 Texas Highway 37 MT Vernon TX 75457,506 Texas Hwy 37,Mt Vernon,TX,75457,903-537-8222,M-F: 9a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Individuals can stop by during business hours and request narcan,,https://www.healandrecovery.com/,9/25/2024,-95.2115,33.145,E023,ZC5X
Thriving United,301 East Illinois Ave Midland TX 79701,301 East Illinois Ave,Midland,TX,79701,432-701-8678,M-F: 9a- 5p; Sat: 9a-1p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,,https://thrivingunited.org/,8/26/2025,-102.071828,31.999809,S800,AS0
ETCADA,708 Glencrest Lane Longview TX 75601,708 Glencrest Lane,Longview,TX,75601,903-753-7633,M-F: 8a-5p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can call the council at (903) 753-7633 or email naloxone@etcada.com to request naloxone and training. Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,,https://www.etcada.com/,8/26/2025,-94.746124,32.508287,S800,AS0
Texas Craft Fair,3300 Hwy 190 West,3300 Hwy 190 West,Livingston,TX,77351,936-268-5829,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,A community care box with limited narcan is available 24/7; the care box is located outside on west side of grounds. Individuals may call ahead to verify narcan is in stock.,,,3/27/2025,-94.974415,30.729059,S880,AS0
ROOTS Recovery Center,1300 Chicago Ste 101 Laredo TX 78041,1300 Chicago,Laredo,TX,78041,956-688-9800,M-Sun: 24/7,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Persons must ring doorbell to enter building and obtain naloxone,,https://www.cityoflaredo.com/departments/detoxification-department,1/28/2025,-99.50825,27.537522,S810,AS0
Marcos J Aranda Recreation & Boxing Gym,4418 Old Santa Maria Rd Laredo TX 78041,4418 Old Santa Maria Rd,Laredo,TX,78041,956-795-3040,M-F: 3p-10p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.510691,27.53964,T800,AS0
Haynes Recreation Center,2102 Clarks Crossing Dr Laredo TX 78043,2102 Clarks Crossing Dr,Laredo,TX,78043,(956) 729-4600,M-F: 8a-10p; Sat: 10a-2p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.475103,27.51691,S880,AI0
El Eden Recreation Center,4735 Loma Vista Dr Laredo TX 78046,4735 Loma Vista Dr,Laredo,TX,78046,956-794-1769,M-F: 8a-10p; Sat: 10a-2p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.469893,27.44233,T800,AS0
City of Laredo Public Health Department,2600 Cedar Ave Laredo TX 78040,2600 Cedar Ave,Laredo,TX,78040,956-795-4900,M-F: 8a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.4898,27.519687,S800,AS0
Cigarroa Recreation Center,2201 Zacatecas St Laredo TX 78046,2201 Zacatecas St,Laredo,TX,78046,956-795-3050,M-F: 8a-10p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.473831,27.474805,S800,AS0
Bruni Plaza Branch Library,1120 San Bernardo Ave Laredo TX 78040,1120 San Bernardo Ave,Laredo,TX,78040,956-795-2400 ext. 2581,Tues-Sat: 10a-7p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.504745,27.509275,S800,AS0
Barbara Fasken Recreation Center,15201 Cerralvo Dr Laredo TX 78045,15201 Cerralvo Dr,Laredo,TX,78045,956-729-4630,M-F: 8a-10p; Sat: 10a-2p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"During business hours, any community member is able to obtain Free Naloxone from the Naloxone Distribution Cabinet and grab as needed.",,https://www.cityoflaredo.com/departments/health-department/city-of-laredo-overdose-data-2023,1/28/2025,-99.530562,27.590325,S800,AS0
Hill Country Council on Alcohol and Drug Abuse,102 Business Dr West Kerrvile 78028,102 Buisness Dr West,Kerrville,TX,78028,830-367-4667,M-F: 8a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Individuals can access naloxone dispenser during operating hours. Monday: 8AM- 5PM, Tuesday: 8 AM-7 PM, Wednesday: 8 AM-5 PM, Thursday 8 AM-7 PM, Friday 8 AM-12 PM. Closed 12-1 PM for lunch daily.",,,4/2/2025,-99.216977,30.075455,S880,AS0
Fog Daddy's Vape Shop,1480 Junction Hwy Kerrville 78028,1480 Junction Hwy,Kerrville,TX,78028,830-257-6027,Sun-Sat: 9a-9p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the narcan dispenser during operating hours.,Call HCCADA for additional resources or recovery support: 830-367-4667,,4/2/2025,-99.174337,30.064068,S800,AS0
Fog House Vape Shop- Kerrville,317 Earl Garrett Kerrvile 78028,317 Earl Garrett,Kerrvile,TX,78028,830-955-5371,Sun-Sat: 10a-9p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the narcan dispenser during operating hours.,Call HCCADA for additional resources or recovery support: 830-367-4667,,4/1/2025,-99.138963,30.04678,SA10,AS0
UT Health's University Center Tower,7000 Fannin St Houston TX 77030,7000 Fannin St,Houston,TX,77030,713-500-4472,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Vending machines are located outdoors available 24/7 to the public,,https://www.uth.edu/maps/university-center-tower-parking,8/26/2025,-95.403065,29.703523,S800,AS0
UT Health Professional Building,6410 Fannin Street,6410 Fannin St,Houston,TX,77030,n/a,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Vending machines are located outdoors available 24/7 to the public,"Note: University of Texas Health Science Center at UTHealth Houston Professional Building is home to UT Physicians, the clinical practice of McGovern Medical School at UTHealth Houston. The building is connected by skywalk to Memorial Hermann Medical Plaz",https://www.uth.edu/maps/university-professional-building,8/26/2025,-95.397643,29.714201,S800,AS0
The Council on Recovery,303 Jackson Hill Street Houston TX 77007,303 Jackson Hill Street,Houston,TX,77007,713-942-4100,M-F: 9a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals can come in during business hours and request naloxone,,https://www.councilonrecovery.org/,12/17/2024,-95.401935,29.764379,S800,AS0
Texas Medical Center (TMC) Library,1133 John Freeman Blvd Houston TX 77030,1133 John Freeman Blvd,Houston,TX,77030,713-795-4200,M-Th: 7a-10p; F: 7a-6p; Sat: 9a-6p; Sun: 1p-6p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the dispenser during business hours. The dispenser is inside the library near the 1st floor vending machines.,,https://library.tmc.edu/,3/28/2025,-95.398196,29.711922,S800,AS0
Strategic Recovery Solutions,5144 East Sam Houston Pkwy N Ste 115 Houston TX 77015,5144 East Sam Houston Pkwy,Houston,TX,77015,937-709-3635,M-F: 8a-9p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Fill out contact form with your request on their website: https://strategicrecoverysolutions.org/order-naloxone ; someone will respond within 48 hours regarding pick-up,,https://strategicrecoverysolutions.org/,8/26/2025,-95.162797,29.799109,S840,AS0
Center for Recovery and Wellness Resources,2905 Elgin St Houston TX 77007,2905 Elgin St,Houston,TX,77007,832-373-3050,M-F: 9a-5p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can place an order via online at: https://www.wellnessandrecovery.org/order-naloxone; a representative will contact you to confirm which of the pickup locations you'd like to go to. Individuals may also select the delivery option. orders are ready within 48 hours.,,https://www.wellnessandrecovery.org/order-naloxone,8/26/2025,-95.360162,29.731748,S900,AS0
"El Paso Alliance, Inc.",800 Montana Ave El Paso TX 79902,800 Montana Ave,El Paso,TX,79902,915-594-7000,M-Sun: 7a-10:30p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,,https://recoveryalliance.net/,8/28/2025,-106.486325,31.767147,S800,AS0
Aliviane,1626 Medical Center Dr El Paso Texas 79902,1626 Medical Center Dr,El Paso,TX,79902,915-782-4000,M-F: 7a-5p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals can come in during business hours and request naloxone,,https://www.aliviane.org/,10/15/2024,-106.479508,31.777981,S800,AI0
Phoenix House,2345 Reagan Street Dallas TX 75219,2345 Reagan St,Dallas,TX,75219,214-999-1044,hours based on trainings,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals can either attend any upcoming community Opioids & Narcan trainings (which are posted to the Events page of our website: https://phoenixhousetx.org/events/) or they can reach out to Phx House Tx via email (contact@phoenixhousetx.org) to request to schedule an opioids & Narcan training for their group/community/etc.,Note: narcan only provided with training,https://phoenixhousetx.org/,10/2/2024,-96.818292,32.804247,S800,AS0
DFW Harm Reduction Access Movement,Dallas TX (no physical address),,Dallas,TX,,n/a,24/7,Risk Reduction Group,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can contact them via email or social media: email: dfwharmredux@gmail.com; Instagram- @dfwharmredux. And they will coordinate drop-off/pick-up services,Conducts outreach events throughout DFW area; distributes narcan and harm reduction supplies at each event. Events listed on instagram,https://linktr.ee/dhream,8/27/2025,-96.8071409,32.7796634,E020,E
Deep Ellum Community Center,2528 Elm St A Dallas TX 75226,2528 Elm St,Dallas,TX,75226,817-999-5201,M-F: 12p-7p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access vending machines during operating hours,,https://deepellumcommunitycenter.com/,10/2/2024,-96.787858,32.783676,S800,AS0
Dallas 24 Hour Club,4636 Ross Avenue Dallas TX 75204,4636 Ross Ave,Dallas,TX,75204,214-823-3200,M-F: 8a-10p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Individuals can stop by the organization during business hours and see a staff member to request narcan,,https://www.dallas24hourclub.org/,10/4/2024,-96.777949,32.804541,S800,AS0
"South Texas Substance Abuse Recovery Services, Inc. (STSARS)",907 Antelope Street Corpus Christi 78401,907 Antelope Street,Corpus Christi,TX,78041,361-882-0070,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Freestanding Dispenser,,https://stsars.org/,3/6/2026,-97.39984,27.797181,S900,AS0
Coastal Bend Wellness Foundation,2882 Holly Road Corpus Christi TX 78415,2882 Holly Road,Corpus Christi,TX,78415,361-814-2001 ext 208,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,"Individuals wanting to get Narcan and other risk reduction resources from Coastal Bend Wellness Foundation, should call 361-814-2001 ext. 208 and speak to an Outreach Specialist. Arrangements to meet can be made through the mobile health unit if there are any transportation issues",,https://www.cbwellness.org/,10/8/2024,-97.423736,27.721835,S800,AS0
Texas Against Fentanyl,2001 Windy Terrace Suite C Cedar Park TX 78613,2001 Windy Ter,Cedar Park,TX,78613,737-304-8890,M-F: 8a-5p,Risk Reduction Group,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can contact via phone to request narcan and also can drop-in during business hours,,https://txaf.org/,10/11/2024,-97.833664,30.460524,S800,AS0
Brazoria County Police Department,114 E Texas St Brazoria TX 77422,114 E Texas Street,Brazoria,TX,77422,979-798-2195,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine located outside of Brazoria County Police Dept.,,,4/8/2025,-95.569407,29.044379,S800,AS0
Up In Smoke,32828 Interstate 10 W Boerne TX 78006,32828 Interstate 10 W,Boerne,TX,78006,830-629-8453,M-Sat: 11a-8p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the naloxone dispenser during hours of operation.,"For recovery support, please call the Hill Country Council on Alcohol and Drug Abuse: (830) 367-4667.",,4/9/2025,-98.714677,29.763772,S800,AS0
Kendall County Jail,6 Staudt St Boerne TX 78006,6 Staudt St,Boerne,TX,78006,830-249-9721,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,"Individuals can access naloxone during lobby hours: doors are open Monday- Friday 8AM-5PM. After hours, individuals can press the call button and a deputy can allow them access to the Naloxone Dispenser.",,,4/3/2025,-98.722713,29.806217,S800,AS0
Fog House,513 E Blanco Rd Boerne TX 78006,513 E Blanco Rd,Boerne,TX,78006,830-331-2841,Sun-Sat: 10a-9p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Naloxone kiosk is located inside the business and is free to the public.,,,5/23/2025,-98.728308,29.795883,S800,AS0
Texas Treatment Services (Methadone Clinic),2688 Calder Avenue Beaumont TX 77702,2688 Calder Ave,Beaumont,TX,77702,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Vending machines are located outdoors available 24/7 to the public,,https://texastreatment.com/,2/4/2025,-94.129356,30.085766,A810,AS0
Bastrop County Cares,806 Water Street Bastrop TX 78602,806 Water Street,Bastrop,TX,78602,512-409-3116,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Vending machines are located outdoors available 24/7 to the public,,https://www.bastropcares.org/,8/22/2024,-97.31885,30.108585,S800,AS0
Texas Harm Reduction Alliance,1803 E Cesar Austin TX 78702,1803 E Cesar,Austin,TX,78702,512-893-3237,M-Th: 12:30p-5p,Risk Reduction Group,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can drop-in during hours of operation to get naloxone.,"Carries both Narcan (nasal spray) and Naloxone (intramuscular); offers street outreach and passes out narcan/naloxone- hours and locations posted on website, also provides woundcare and showers",https://www.texasharmreduction.org/,9/30/2024,-97.7162,30.2641,E024,ZC5X
N.I.C.E. Project,4430 Manchaca Rd Austin TX 78745,4430 Manchaca Rd,Austin,TX,78745,301-633-7683,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine 24/7,,https://niceprojectatx.com/,5/20/2025,-97.789488,30.228414,S880,AS0
N.I.C.E. Project,1413 Webberville Rd Austin TX 78721,1413 Webberville Rd,Austin,TX,78721,n/a,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine 24/7; located outdoors,,https://niceprojectatx.com/,5/27/2025,-97.681193,30.279684,S800,AS0
N.I.C.E. Project,1105 E Cesar Chavez St Austin TX 78702,1105 E Cesar Chavez St,Austin,TX,78702,n/a,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine 24/7; located outdoors,,https://niceprojectatx.com/,5/27/2025,-97.733392,30.260046,S800,AS0
N.I.C.E. Project,620 W 29th St Austin TX 78705,620 W 29th St,Austin,TX,78705,n/a,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine 24/7; located outdoors,,https://niceprojectatx.com/,5/27/2025,-97.743773,30.296036,S800,AS0
Communities for Recovery,4110 Guadalupe St Bldg 635 Austin TX 78751,4110 Guadalupe St,Austin,TX,78751,512-758-7686,M-F: 10a-8p,Regional Distribution Site (BeWell),https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Order using link:  https://redcap.uthscsa.edu/REDCap/surveys/?s=7MWYPFNF8YH4XFXK ; orders are ready within 48 hours.,"Recovery Community Center that offers Recovery Support Services that include peer support, hosting several mutual aid support groups for all pathways, sober safe social events and drop-in services",https://communitiesforrecovery.org/,6/23/2025,-97.735188,30.30767,S800,AS0
Cindy's Bail Bonds,125 E Cedar St #B Angleton TX 77515,125 E Cedar Street,Angleton,TX,77515,979-849-9200,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine located outside of Cindy's Bail Bonds,,,4/8/2025,-95.431045,29.169705,S800,AS0
Cindy's Bail Bonds,1130 South Hood St Alvin TX 77512,1130 South Hood Street,Alvin,TX,77512,281-331-1076,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Individuals can access the vending machine located outside of Cindy's Bail Bonds,,,4/8/2025,-95.245622,29.413922,S900,AS0
West Texas Harm Reduction,2233 Cottonwood St Abilene TX 79601,2233 Cottonwood Street,Abilene,TX,79601,325-201-8920,Sun-Sat: 9p-12am,Risk Reduction Group,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/88e8dc32fbaa4dcd81b339271f9ac3ee/data,Individuals can contact 325-201-8920 for delivery or contact the group via Facebook: https://www.facebook.com/westtexasharmreduction/,,https://www.facebook.com/westtexasharmreduction/,4/8/2025,-99.7064,32.4932,E024,ZC5X
